,03-ene,10-ene,17-ene,24-ene,31-ene,07-feb,14-feb,21-feb,28-feb,07-mar,14-mar,21-mar,28-mar,04-abr,11-abr,18-abr,25-abr,02-may,09-may,16-may,23-may,30-may,06-jun,13-jun,20-jun,27-jun,04-jul,11-jul,18-jul,25-jul,01-ago,08-ago,15-ago,22-ago,29-ago,05-sep,12-sep,19-sep,26-sep,03-oct,10-oct,17-oct,24-oct,31-oct
Tapa EU domo 16 oz,2,0,0,2,1,1,0,2,2,1,0,2,2,0,1,2,2,1,1,2,1,0,0,1,2,2,1,2,2,0,0,1,2,0,1,1,2,0,1,1,2,1,0,0
Tapa EU orificio 16 oz ,2,1,0,1,2,1,2,1,1,1,1,0,1,2,0,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,0,1,2,1,2,0,1,2,1,2
"Fajilla para vaso, lisa paq 50pz ",4,5,4,4,6,4,6,3,3,8,4,6,6,6,5,7,5,6,4,4,6,5,5,7,8,5,5,8,4,5,4,7,3,4,4,6,6,4,5,5,4,6,5,5
Popote estuchado ,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Cuchara monarca chica ,2,1,1,0,2,0,2,1,3,0,0,2,2,2,0,2,2,0,2,0,1,3,0,2,2,0,1,1,2,0,1,1,1,3,2,0,2,0,2,0,0,1,3,0
Hamburguesero nevado ,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Ajitador de bambu ,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Servilleta 500 pz ecomnomica ,3,3,0,2,2,3,3,2,3,3,0,2,3,3,0,2,2,4,2,3,2,4,3,2,2,3,3,2,2,3,3,2,2,4,0,2,0,3,3,2,3,2,4,3
Bolsa de camiseta mediana transparente ,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0
Bolsa negra para basura 60x90,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0
Leche alpura regular ,18,22,12,18,16,16,12,18,18,18,10,16,16,20,12,16,12,18,12,16,16,22,10,16,18,22,12,16,16,20,12,16,16,22,10,16,16,22,12,12,16,16,22,10
Leche alpura deslactosada Ligth,32,32,16,32,32,24,12,24,30,34,12,28,32,28,12,34,30,32,10,28,32,30,12,30,32,24,14,30,30,30,10,28,32,32,10,32,30,24,12,32,28,32,30,12
Leche 19 Hermanos 3 pz ,2,4,4,2,6,0,6,0,3,3,3,4,4,3,6,0,6,2,4,4,3,3,2,3,2,4,3,3,2,2,4,2,2,3,3,4,4,2,4,2,4,3,3,2
Helado holanda vainilla 1 lt ,3,3,3,2,2,3,3,4,2,3,2,4,2,3,2,3,3,3,2,4,2,3,2,2,3,3,3,2,2,3,3,4,2,3,2,4,2,3,2,4,4,2,3,2
Helado holando chocolate 1 Lt ,3,2,2,2,3,2,2,1,3,2,2,2,2,2,1,1,3,2,2,2,3,2,1,2,3,2,2,2,4,2,2,2,3,2,1,2,3,2,2,2,2,3,2,1
Helado holanda fresa 1 Lt ,2,1,2,2,1,2,2,3,1,1,2,2,2,3,2,3,1,1,2,1,1,2,2,2,1,3,2,3,2,3,2,1,2,1,2,2,1,2,2,2,1,1,2,2
Manteca vegetal presisimo 500 gr,2,2,0,2,2,0,2,2,0,3,2,0,2,3,0,2,2,1,0,2,3,0,1,2,2,1,0,1,2,2,0,1,2,2,1,0,3,2,0,0,2,3,0,1
Levaduras ,3,2,2,3,2,2,3,3,2,2,3,3,2,4,2,2,4,4,2,2,2,3,3,3,2,2,4,4,3,4,2,2,2,3,3,3,2,2,2,4,2,2,3,3
Aceite Canolil 1 lt ,5,4,3,6,3,3,4,4,5,5,3,3,3,5,5,4,4,4,2,3,3,3,4,4,2,6,2,4,4,3,3,4,4,4,6,3,3,4,4,3,3,3,3,4
Jabon en polvo Salvo ,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,0,2,2,0,2,2,0,1,0
Jabon liquido Axion 1 lt ,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0
Cloralex 1.2 lt ,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
Hielo ,8,6,6,5,8,6,5,5,8,6,6,5,8,5,6,5,8,6,6,5,8,6,5,5,8,6,6,5,8,6,6,5,7,6,6,5,8,6,6,5,5,8,6,5
Lechera ,4,4,2,4,3,3,3,2,4,4,4,2,3,3,4,5,5,4,4,3,3,4,5,4,4,2,3,3,3,4,4,3,5,4,2,3,5,3,3,4,3,3,4,5
Media crema ,2,1,2,1,2,2,0,1,3,2,0,0,2,2,0,1,3,1,2,2,3,0,0,2,2,2,0,0,2,2,3,0,1,2,2,3,3,2,0,0,2,3,0,0
Carnation Clavel,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Manzanas,1,1,1,1,2,0,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,0,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,0,1,2,0,1
Zanahorias ,1,2,2,1,1,2,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1,2
Mantequilla Eugenia ,8,6,7,7,8,6,6,4,4,8,8,4,4,5,5,6,6,8,6,7,5,7,7,3,3,5,7,8,7,7,9,5,6,6,7,5,5,6,8,6,7,5,7,7
Mantequilla Noche buena ,4,4,4,3,3,6,6,4,4,2,4,4,5,6,6,5,5,6,6,7,6,6,7,7,6,6,4,5,5,7,6,6,4,4,7,5,6,6,4,6,7,6,6,7
Margarina Yurecuaro,8,8,9,8,8,7,9,8,9,7,7,8,8,10,7,7,6,7,7,8,8,12,12,10,10,8,8,13,12,12,14,8,8,13,10,11,14,6,9,9,8,8,12,12
